Horizon,Model,MAE,RMSE,R2,Train_Samples,Test_Samples
6M,XGBoost,0.048477441,0.068812233,0.802215955,6497,1577
12M,XGBoost,0.057874023,0.076641537,0.712022984,4124,975
24M,XGBoost,0.083081947,0.111681787,0.53583012,589,158
